date,delta,gamma,vega,theta
2023-04-18,-11334892.228121193,-153180.42034808593,-16249.065474383215,11587.576957838863
2023-04-19,-11338330.198563872,-151506.59663081807,-16141.072327696666,11039.103790104367
2023-04-20,-11148433.66871394,-149432.45534084112,-15503.456633374677,10540.034343922169
2023-04-21,-11599696.685866985,-172357.9910576273,-17144.529191970913,11998.5522469472
2023-04-24,-11492616.159956368,-166744.30878716713,-16978.510572890078,11866.417779188156
2023-04-25,-11509646.424544092,-160127.58765961105,-16049.873693903217,11289.858167576087
2023-04-26,-11507127.890102118,-158063.79616992158,-15799.048920739655,11174.813744106172
2023-04-27,-11242307.347490223,-157999.1897472363,-15926.834527729632,10991.396601730201
2023-04-28,-11657756.053469565,-170458.81082080153,-17280.57084436727,11833.271927780015
2023-05-01,-11642252.183199538,-166123.7210529919,-16828.213786907574,11962.884524850151
2023-05-02,-11801930.33311193,-157565.43262036843,-16612.467528144163,11490.195473569724
2023-05-03,-12040281.090202583,-152211.36055913538,-15441.251897875904,9432.180712006531
2023-05-04,-11928509.172900625,-147580.04986555726,-15003.235026683775,9581.758293955492
2023-05-05,-12089627.522557907,-154807.76871329907,-17489.90004265935,11931.363682360803
2023-05-08,-12086496.959923059,-154517.27289270365,-16940.45420308456,11996.071359699074
2023-05-09,-12307033.288175324,-148829.06559501978,-16096.664978254672,9713.51469698726
2023-05-10,-12149195.642827619,-148674.2795369228,-16494.84294186704,10723.320362790597
2023-05-11,-11720541.114843227,-163917.816965851,-16771.51539789095,11872.256212711218
2023-05-12,-11894271.896181405,-175718.8351435587,-17911.424352845257,12593.331908775282
2023-05-15,-11933212.778167946,-157479.41063685555,-17049.56798230999,12138.103843909852
2023-05-16,-11808627.08313833,-171045.4290737823,-17123.414634776265,11756.084268311464
2023-05-17,-11846006.29836485,-169393.04245303018,-17167.223729549798,11174.440007527615
2023-05-18,-11745012.861080755,-180827.65034254876,-16889.62885510048,12106.332422931939
2023-05-19,-11833292.01637231,-165768.4678191576,-17008.30255384593,11003.593209371795
2023-05-22,-11645820.848177928,-164347.25403927863,-17848.488313032423,12009.046581678189
2023-05-23,-11629306.840149147,-169558.27294279204,-17699.252412271468,12246.733732969946
2023-05-24,-11539317.804889733,-172565.89945668099,-17520.556364139717,11549.6901974656
2023-05-25,-11502570.697187576,-176943.09604261612,-16949.376342452342,11639.802231087495
2023-05-26,-11576577.992628684,-162358.11372625,-16800.56719961197,10833.10451772329
2023-05-29,-11607963.56747815,-174190.98985082575,-17426.47841472259,11473.801079491242
2023-05-30,-11633934.748016205,-172633.68770586647,-17590.558105570035,12354.897542114228
2023-05-31,-11672390.057854515,-168821.36995955228,-17448.698280407116,11751.382973401196
2023-06-01,-11801511.21860295,-167379.25434189645,-17468.296496347313,10713.416802417589
2023-06-02,-11637014.878089521,-165838.80917858743,-17197.677087206754,10404.059401967112
2023-06-05,-11758071.042870155,-164038.11982722694,-18172.04078468741,11958.765533764821
2023-06-06,-11810628.247189645,-161269.3619687057,-17884.995529703483,11294.958879548072
2023-06-07,-11741779.684428751,-160204.90620430312,-17630.82337304799,10982.0003665894
2023-06-08,-12025438.617049921,-150339.44691781318,-16262.571221273152,10105.305479487553
2023-06-09,-12046642.1837062,-148019.59723617908,-16065.685436767983,9461.277384106997
2023-06-12,-12184219.326484194,-159342.867337016,-16717.176803357095,10968.376566781542
2023-06-13,-12129672.178196626,-165687.02744348557,-16447.79723882798,10850.509521154703
2023-06-14,-12202243.790735176,-162676.75082062674,-16291.333925221874,10690.911895566647
2023-06-15,-12312207.291519316,-163532.108108212,-16109.444435653608,10769.104263697822
2023-06-16,-12437712.197493626,-158140.32707094666,-15966.179063556558,10329.544648280826
2023-06-19,-11941216.032552548,-152327.9481778451,-16378.828599900506,9881.811376649403
2023-06-20,-12026312.093333546,-159902.4298556355,-17479.060506584505,10549.816308444677
2023-06-21,-11883386.348938985,-166968.49487382136,-17467.533815512415,11026.09309190672
2023-06-22,-11810551.008321803,-162737.20857856335,-17160.34609694201,11238.689289803257
2023-06-23,-11881928.821471922,-170343.59550342496,-17026.525182523834,11242.353036626078
2023-06-26,-11474607.284365539,-157025.82766305233,-16539.28784694942,10389.598417073905
2023-06-27,-11911810.581509223,-163446.04156506545,-17798.089966881,11563.401393702716
2023-06-28,-11913099.376357606,-163468.72505786872,-17229.11793819691,11009.717991473124
2023-06-29,-11933825.009874031,-165605.9290988386,-16917.633905775478,10826.493191351698
2023-06-30,-12025225.07346207,-164558.96244182525,-16763.60817780436,10492.953504694193
