date,delta,gamma,vega,theta
2021-08-06,-1895654.0551007714,-315444.56959013495,-1820.345901508936,2855.684664529584
2021-08-09,-1799705.8537726463,-258246.02880073705,-1664.3097254603083,2618.790657913459
2021-08-10,-1834925.397987194,-323930.9116723942,-2051.865932443477,2852.229064024705
2021-08-11,-1902518.8676933,-294949.99103328463,-1970.1919165401707,2634.452521126932
2021-08-12,-1888413.2668673692,-285176.3759084414,-1982.653633913705,2573.7623082044097
2021-08-13,-1898826.8750065586,-269310.519103574,-1936.4665438083268,2486.241589222462
2021-08-16,-1853499.4444454522,-218898.5359947579,-1768.8151890930585,2159.7736358917105
2021-08-17,-1932676.3957827243,-442029.53008879325,-2206.1573562475214,3339.4892981393905
2021-08-18,-1916053.4826430196,-378737.0604368815,-2131.797822622471,3099.579246146964
2021-08-19,-1930103.633580711,-320465.34557721857,-1996.4841835732502,3046.2572331629567
2021-08-20,-1924907.8667354933,-305892.78191923583,-1965.770463428676,2954.2286210483608
2021-08-23,-1933048.9654378153,-230367.67118118837,-1828.1693594511328,2632.7250471936827
